stock_code	stock_name	stock_name_en	market	target_sector	target_industry	target_business_model	confidence_score	confidence_level	ranker_model_version	financial_data_as_of	strength_titles	strength_icons	peer1_dimension	peer1_ticker	peer1_company_name	peer1_exchange	peer1_country	peer1_similarity_score	peer1_business_tags	peer1_sector	peer1_industry	peer1_business_model	peer1_scale_bucket	peer1_fiscal_year	peer1_market_cap_usd	peer1_revenue_usd	peer1_operating_income_usd	peer1_net_income_usd	peer1_financial_data_source	peer1_financial_similarity_score	peer2_dimension	peer2_ticker	peer2_company_name	peer2_exchange	peer2_country	peer2_similarity_score	peer2_business_tags	peer2_sector	peer2_industry	peer2_business_model	peer2_scale_bucket	peer2_fiscal_year	peer2_market_cap_usd	peer2_revenue_usd	peer2_operating_income_usd	peer2_net_income_usd	peer2_financial_data_source	peer2_financial_similarity_score	peer3_dimension	peer3_ticker	peer3_company_name	peer3_exchange	peer3_country	peer3_similarity_score	peer3_business_tags	peer3_sector	peer3_industry	peer3_business_model	peer3_scale_bucket	peer3_fiscal_year	peer3_market_cap_usd	peer3_revenue_usd	peer3_operating_income_usd	peer3_net_income_usd	peer3_financial_data_source	peer3_financial_similarity_score
005380	현대차	Hyundai Motor	KOSPI	Consumer Discretionary	Automobiles	Automobile manufacturing and mobility supply chain	0.6667	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Industrial Solutions;Vehicle Manufacturing;Subsidiary Portfolio;Mobility Portfolio	industrial;automotive;ecosystem;automotive	overall_business	GM	General Motors	NYSE	US	0.6667	automotive	Consumer Discretionary	Automobiles	Automobile manufacturing and mobility supply chain	LARGE_CAP	2025	70185618779.0	185019000000.0	2909000000.0	2780000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9998	industrial	SRFM	Surf Air Mobility	NYSE	US	0.3983	automotive;aerospace	Consumer Discretionary	Automobiles	Automobile manufacturing and mobility supply chain	MICRO_CAP	2025	88854090.0		-76874000.0	-110556000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.3765	automotive	TM	Toyota Motor	NYSE	US	0.6267	automotive	Consumer Discretionary	Automobiles	Automobile manufacturing and mobility supply chain	MEGA_CAP	2025	270773470027.0	222373000000.0	14045000000.0	11520000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	1.0
005490	POSCO홀딩스	POSCO Holdings	KOSPI	Materials	Metals and Materials	Metals, materials, and industrial inputs	0.6683	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Subsidiary Portfolio;Battery Technology;Consumer Devices;Mobility Portfolio	ecosystem;battery;consumer_electronics;automotive	overall_business	STLD	Steel Dynamics	NASDAQ_GLOBAL_SELECT	US	0.6683	materials	Materials	Metals and Materials	Metals, materials, and industrial inputs	LARGE_CAP	2025	33673684364.0	18176581000.0	1475986000.0	1187311000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9997	industrial	VMC	Vulcan Materials (Holding )	NYSE	US	0.6634	materials	Materials	Metals and Materials	Metals, materials, and industrial inputs	LARGE_CAP	2025	39275506141.0	7941100000.0	1619600000.0	1078100000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9993	operational_scale	MLM	Martin Marietta Materials	NYSE	US	0.6393	materials	Materials	Metals and Materials	Metals, materials, and industrial inputs	LARGE_CAP	2025	34794344748.0	1161000000.0	1437000000.0	116000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9978
005830	DB손해보험	DB Sonhaeboheom	KOSPI	Financials	Insurance	Insurance underwriting and financial services	0.6833	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Insurance Services;Global Reach;Subsidiary Portfolio;Insurance	financial_services;global_business;ecosystem;financial_services	overall_business	THG	Hanover Insurance Group	NYSE	US	0.6833	insurance	Financials	Insurance	Insurance underwriting and financial services	MID_CAP	2025	7477026250.0	6594400000.0	933000000.0	662500000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9998	financial_services	NP	Neptune Insurance Holdings	NYSE	US	0.6703	insurance	Financials	Insurance	Insurance underwriting and financial services	MID_CAP	2025	4198197461.0	159551000.0	70955000.0	37413000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9988	operational_scale	PLGO	Pelagos Insurance Capital Common Shares	NYSE	US	0.6287	insurance;financials	Financials	Insurance	Insurance underwriting and financial services	MID_CAP	2025	2130438372.0	2500500000.0		225500000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.936
005930	삼성전자	Samsung Electronics	KOSPI	Information Technology	Semiconductors	Consumer electronics and appliance manufacturing	0.5201	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	AI Technology;Consumer Devices;Foundry Capability;Memory Technology	ai;consumer_electronics;foundry;memory	overall_business	INTC	Intel	NASDAQ_GLOBAL_SELECT	US	0.5201	semiconductors;foundry	Information Technology	Semiconductors	Integrated semiconductor design and manufacturing	MEGA_CAP	2025	658355740000.0	52853000000.0	-2214000000.0	26000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.776	semiconductor	TSM	Taiwan Semiconductor Manufacturing	NYSE	US	0.4942	semiconductors;foundry	Information Technology	Semiconductors	Pure-play semiconductor foundry manufacturing	MEGA_CAP		2348760610825.0				NASDAQ_SUMMARY_MARKET_CAP	0.772	memory	MU	Micron Technology	NASDAQ_GLOBAL_SELECT	US	0.4222	semiconductors;memory chips	Information Technology	Semiconductors	Memory semiconductor manufacturing	MEGA_CAP	2025	1288603703496.0	37378000000.0	9770000000.0	8539000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.54
005940	NH투자증권	NH Tuja Securities	KOSPI	Financials	Banks	Banking, spread income, fees, and capital-market services	0.52	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Banking Network;Capital Markets;Financial Services;Real Estate Portfolio	financial_services;financial_services;financial_services;global_business	overall_business	C	Citigroup	NYSE	US	0.5158	banking;financials	Financials	Banks	Banking, spread income, fees, and capital-market services	MEGA_CAP	2025	244827044005.0	85225000000.0		14452000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.8363	financial_services	JPM	JP Morgan Chase &	NYSE	US	0.4838	banking;financials	Financials	Banks	Banking, spread income, fees, and capital-market services	MEGA_CAP	2025	885417752964.0	182447000000.0		49552000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.8385	operational_scale	BAC	Bank of America	NYSE	US	0.4909	banking;financials	Financials	Banks	Banking, spread income, fees, and capital-market services	MEGA_CAP	2025	413128024748.0	113097000000.0		30509000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.8379
006400	삼성SDI	Samsung SDI	KOSPI	Industrials	Battery and Energy Storage	Electrical equipment and components manufacturing	0.5191	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Battery Technology;Energy Infrastructure;Cloud Infrastructure;Technology Innovation	battery;energy;software_platform;global_business	overall_business	TSLA	Tesla	NASDAQ_GLOBAL_SELECT	US	0.5191	battery;automotive	Industrials	Battery and Energy Storage	Battery manufacturing and energy storage supply chain	MEGA_CAP	2025	1548447394775.0	94827000000.0	4355000000.0	3855000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.582	battery	QS	QuantumScape	NASDAQ_GLOBAL_SELECT	US	0.5345	battery	Industrials	Battery and Energy Storage	Battery manufacturing and energy storage supply chain	MID_CAP	2025	4662799676.0		-472604000.0	-435050000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9264	energy	ABAT	American Battery Technology	NASDAQ_CAPITAL	US	0.4607	battery;software platform	Industrials	Battery and Energy Storage	Battery manufacturing and energy storage supply chain	UNKNOWN	2025	364840337.0	4290224.0	-42023329.0	-46762625.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.54
006800	미래에셋증권	Miraeeset Securities	KOSPI	Financials	Banks	Banking, spread income, fees, and capital-market services	0.5541	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	AI Technology;Capital Markets;Global Reach;Banking Network	ai;financial_services;global_business;financial_services	overall_business	C	Citigroup	NYSE	US	0.5541	banking;financials	Financials	Banks	Banking, spread income, fees, and capital-market services	MEGA_CAP	2025	244827044005.0	85225000000.0		14452000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.941	financial_services	JPM	JP Morgan Chase &	NYSE	US	0.4973	banking;financials	Financials	Banks	Banking, spread income, fees, and capital-market services	MEGA_CAP	2025	885417752964.0	182447000000.0		49552000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9409	operational_scale	BAC	Bank of America	NYSE	US	0.504	banking;financials	Financials	Banks	Banking, spread income, fees, and capital-market services	MEGA_CAP	2025	413128024748.0	113097000000.0		30509000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9409
009150	삼성전기	Samsung Electric	KOSPI	Industrials	Electrical Equipment	Electrical equipment and components manufacturing	0.62	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Electronic Components;Multi-Division Operations;Global Reach;Sales Channels	consumer_electronics;ecosystem;global_business;commerce	overall_business	AEP	American Electric Power	NASDAQ_GLOBAL_SELECT	US	0.6172	electrical equipment;energy	Industrials	Electrical Equipment	Electrical equipment and components manufacturing	LARGE_CAP	2025	74659371966.0	21876000000.0	5319000000.0	3696000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9994	operational_scale	EMR	Emerson Electric	NYSE	US	0.6132	electrical equipment	Industrials	Electrical Equipment	Electrical equipment and components manufacturing	LARGE_CAP	2025	80004684000.0	4175000000.0		2246000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9444	industrial	PCG	Pacific Gas & Electric	NYSE	US	0.6087	electrical equipment;energy	Industrials	Electrical Equipment	Electrical equipment and components manufacturing	LARGE_CAP	2025	46350052060.0	24935000000.0	4749000000.0	2703000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9993
009540	HD한국조선해양	HD Hangukjoseonhaeyang	KOSPI	Industrials	Shipbuilding	Shipbuilding, marine engineering, and offshore plant construction	0.62	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Energy Infrastructure;Industrial Solutions;Energy Transition;Subsidiary Portfolio	energy;industrial;energy;ecosystem	overall_business	GD	General Dynamics	NYSE	US	0.5837	shipbuilding;aerospace	Industrials	Shipbuilding	Defense shipbuilding, marine systems, and aerospace manufacturing	LARGE_CAP	2025	94201651340.0	52550000000.0	5356000000.0	4210000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9999	industrial	HII	Huntington Ingalls Industries	NYSE	US	0.5347	shipbuilding;aerospace	Industrials	Shipbuilding	Naval shipbuilding and defense technology services	LARGE_CAP	2025	10977174399.0	12484000000.0	657000000.0	605000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9999	operational_scale	BWXT	BWX Technologies	NYSE	US	0.5285	shipbuilding;aerospace	Industrials	Shipbuilding	Naval nuclear propulsion equipment manufacturing and services	LARGE_CAP	2025	17677046525.0	682258000.0	96630000.0	329861000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9987
010120	LS ELECTRIC	LS ELECTRIC	KOSPI	Industrials	Electrical Equipment	Electrical equipment and components manufacturing	0.6625	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Mobility Portfolio;Energy Infrastructure;Industrial Solutions;Energy Transition	automotive;energy;industrial;energy	overall_business	AEP	American Electric Power	NASDAQ_GLOBAL_SELECT	US	0.6625	electrical equipment;energy	Industrials	Electrical Equipment	Electrical equipment and components manufacturing	LARGE_CAP	2025	74659371966.0	21876000000.0	5319000000.0	3696000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9996	energy	PCG	Pacific Gas & Electric	NYSE	US	0.6589	electrical equipment;energy	Industrials	Electrical Equipment	Electrical equipment and components manufacturing	LARGE_CAP	2025	46350052060.0	24935000000.0	4749000000.0	2703000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9995	industrial	EMR	Emerson Electric	NYSE	US	0.6674	electrical equipment	Industrials	Electrical Equipment	Electrical equipment and components manufacturing	LARGE_CAP	2025	80004684000.0	4175000000.0		2246000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9433
010130	고려아연	Korea Zinc	KOSPI	Materials	Metals and Materials	Metals, materials, and industrial inputs	0.6718	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Energy Infrastructure;Industrial Solutions;Subsidiary Portfolio;Energy Transition	energy;industrial;ecosystem;energy	overall_business	STLD	Steel Dynamics	NASDAQ_GLOBAL_SELECT	US	0.6718	materials	Materials	Metals and Materials	Metals, materials, and industrial inputs	LARGE_CAP	2025	33673684364.0	18176581000.0	1475986000.0	1187311000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	1.0	industrial	VMC	Vulcan Materials (Holding )	NYSE	US	0.6631	materials	Materials	Metals and Materials	Metals, materials, and industrial inputs	LARGE_CAP	2025	39275506141.0	7941100000.0	1619600000.0	1078100000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9999	operational_scale	PKG	Packaging of America	NYSE	US	0.6452	materials	Materials	Metals and Materials	Metals, materials, and industrial inputs	LARGE_CAP	2025	21092322704.0	8989300000.0	1107000000.0	774100000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	1.0
